,Firm,Salary,Reports
0,Morgan Stanley,116636.0,153.0
1,Morgan Stanley,74684.0,151.0
2,Morgan Stanley,52804.0,121.0
3,Morgan Stanley,63618.0,87.0
4,Morgan Stanley,29145.0,71.0
5,Morgan Stanley,35191.0,58.0
6,Morgan Stanley,85721.0,52.0
7,Morgan Stanley,59050.0,50.0
8,Morgan Stanley,102676.0,48.0
9,Morgan Stanley,189937.0,46.0
10,Morgan Stanley,38296.0,35.0
11,Morgan Stanley,49196.0,34.0
12,Morgan Stanley,46215.0,27.0
13,Morgan Stanley,67202.0,27.0
14,Morgan Stanley,67230.0,26.0
15,Morgan Stanley,40689.0,25.0
16,Morgan Stanley,40724.0,23.0
17,Morgan Stanley,58077.0,18.0
18,Morgan Stanley,84009.0,18.0
19,Morgan Stanley,154756.0,18.0
20,Morgan Stanley,168316.0,17.0
21,Morgan Stanley,256958.0,16.0
22,Morgan Stanley,53879.0,15.0
23,Morgan Stanley,111558.0,15.0
24,Morgan Stanley,65520.0,14.0
25,Morgan Stanley,47754.0,14.0
26,Morgan Stanley,103123.0,13.0
27,Morgan Stanley,51536.0,13.0
28,Morgan Stanley,35259.0,12.0
29,Morgan Stanley,74712.0,12.0
30,Morgan Stanley,28891.0,12.0
31,Morgan Stanley,59436.0,12.0
32,Morgan Stanley,52578.0,11.0
33,Morgan Stanley,34417.0,11.0
34,Morgan Stanley,40027.0,11.0
35,Morgan Stanley,75393.0,10.0
36,Morgan Stanley,86747.0,10.0
37,Morgan Stanley,23890.0,9.0
38,Morgan Stanley,46237.0,9.0
39,Morgan Stanley,104110.0,9.0
40,Morgan Stanley,35101.0,9.0
41,Morgan Stanley,61681.0,8.0
42,Morgan Stanley,75904.0,8.0
43,Morgan Stanley,20573.0,8.0
44,Morgan Stanley,46822.0,7.0
45,Morgan Stanley,30000.0,7.0
46,Morgan Stanley,65148.0,7.0
47,Morgan Stanley,91987.0,7.0
48,Morgan Stanley,44165.0,7.0
49,Morgan Stanley,36320.0,7.0
50,Morgan Stanley,52541.0,7.0
51,Morgan Stanley,70021.0,7.0
52,Morgan Stanley,85098.0,7.0
53,Morgan Stanley,128418.0,7.0
54,Morgan Stanley,89655.0,6.0
55,Morgan Stanley,66983.0,6.0
56,Morgan Stanley,81103.0,6.0
57,Morgan Stanley,108823.0,6.0
58,Morgan Stanley,43746.0,6.0
59,Morgan Stanley,16578.0,6.0
60,Morgan Stanley,49464.0,6.0
61,Morgan Stanley,54691.0,6.0
62,Morgan Stanley,98826.0,6.0
63,Morgan Stanley,40472.0,6.0
64,Morgan Stanley,87435.0,5.0
65,Morgan Stanley,69217.0,5.0
66,Morgan Stanley,98312.0,5.0
