Continent,Year,Positive affect
Africa,2005-01-01,0.734862745
Africa,2006-01-01,0.681941897
Africa,2007-01-01,0.687373678
Africa,2008-01-01,0.641390899
Africa,2009-01-01,0.697654632
Africa,2010-01-01,0.691258752
Africa,2011-01-01,0.664324334
Africa,2012-01-01,0.661361124
Africa,2013-01-01,0.670193276
Africa,2014-01-01,0.661589544
Africa,2015-01-01,0.668433365
Africa,2016-01-01,0.688108314
Africa,2017-01-01,0.669279429
Africa,2018-01-01,0.691584292
Africa,2019-01-01,0.680110924
Africa,2020-01-01,0.680853945
Asia,2005-01-01,0.671400428
Asia,2006-01-01,0.720717599
Asia,2007-01-01,0.699282698
Asia,2008-01-01,0.693592383
Asia,2009-01-01,0.692024086
Asia,2010-01-01,0.701671532
Asia,2011-01-01,0.700151198
Asia,2012-01-01,0.70761882
Asia,2013-01-01,0.706938723
Asia,2014-01-01,0.711231939
Asia,2015-01-01,0.704203753
Asia,2016-01-01,0.698300391
Asia,2017-01-01,0.692994538
Asia,2018-01-01,0.698209093
Asia,2019-01-01,0.699887372
Asia,2020-01-01,0.732293004
Europe,2005-01-01,0.748830239
Europe,2006-01-01,0.677006438
Europe,2007-01-01,0.657482418
Europe,2008-01-01,0.697162692
Europe,2009-01-01,0.655427495
Europe,2010-01-01,0.67164733
Europe,2011-01-01,0.666720666
Europe,2012-01-01,0.684431151
Europe,2013-01-01,0.68629215
Europe,2014-01-01,0.690119285
Europe,2015-01-01,0.695416918
Europe,2016-01-01,0.692985915
Europe,2017-01-01,0.691164186
Europe,2018-01-01,0.681563476
Europe,2019-01-01,0.69202177
Europe,2020-01-01,0.70750212
North America,2005-01-01,0.829173535
North America,2006-01-01,0.787721495
North America,2007-01-01,0.817550995
North America,2008-01-01,0.80476962
North America,2009-01-01,0.836736059
North America,2010-01-01,0.814640484
North America,2011-01-01,0.828604221
North America,2012-01-01,0.815803875
North America,2013-01-01,0.801634009
North America,2014-01-01,0.792482555
North America,2015-01-01,0.793045293
North America,2016-01-01,0.798017534
North America,2017-01-01,0.811830525
North America,2018-01-01,0.818135603
North America,2019-01-01,0.834494087
North America,2020-01-01,0.793240201
Oceania,2005-01-01,0.842647672
Oceania,2006-01-01,0.879670858
Oceania,2007-01-01,0.840139121
Oceania,2008-01-01,0.840318799
Oceania,2009-01-01,0.840527013
Oceania,2010-01-01,0.840735227
Oceania,2011-01-01,0.839886487
Oceania,2012-01-01,0.838522971
Oceania,2013-01-01,0.826895833
Oceania,2014-01-01,0.811362028
Oceania,2015-01-01,0.811846167
Oceania,2016-01-01,0.811906487
Oceania,2017-01-01,0.79875508
Oceania,2018-01-01,0.802190721
Oceania,2019-01-01,0.793033093
Oceania,2020-01-01,0.809298366
South America,2005-01-01,0.818701327
South America,2006-01-01,0.794243932
South America,2007-01-01,0.803507614
South America,2008-01-01,0.799101484
South America,2009-01-01,0.824539852
South America,2010-01-01,0.821817833
South America,2011-01-01,0.81286726
South America,2012-01-01,0.80967578
South America,2013-01-01,0.833929735
South America,2014-01-01,0.841260469
South America,2015-01-01,0.827221578
South America,2016-01-01,0.817312825
South America,2017-01-01,0.798177391
South America,2018-01-01,0.810140643
South America,2019-01-01,0.810875338
South America,2020-01-01,0.77184809
