Date,Population,GDP,GDP per capita
1971,55928000,62841,1123.60535
1972,56096700,70502,1256.794072
1973,56222900,81687,1452.913315
1974,56235600,92534,1645.470129
1975,56225700,114936,2044.189757
1976,56216100,136800,2433.466569
1977,56189900,159524,2839.015553
1978,56178000,185837,3308.003133
1979,56240100,220586,3922.219199
1980,56329700,259499,4606.788248
1981,56357500,289653,5139.564388
1982,56290700,318999,5666.992949
1983,56315700,350813,6229.399617
1984,56409300,377386,6690.137974
1985,56554000,414161,7323.283941
1986,56683800,446361,7874.577922
1987,56804000,496226,8735.758045
1988,56916400,555980,9768.362019
1989,57076500,615125,10777.20253
1990,57237500,669873,11703.39375
1991,57438700,706821,12305.65803
1992,57584500,732295,12716.87694
1993,57713900,771414,13366.17349
1994,57862100,812289,14038.36017
1995,58024800,853228,14704.54013
1996,58164400,911191,15665.78526
1997,58314200,952585,16335.38658
1998,58474900,998318,17072.59012
1999,58684400,1041970,17755.48527
2000,58886100,1098500,18654.65704
2001,59113000,1142023,19319.32062
2002,59365700,1190336,20050.90482
2003,59636700,1259970,21127.42657
2004,59950400,1322795,22064.82359
2005,60413300,1399656,23168.01102
2006,60827100,1476722,24277.36979
2007,61319100,1552470,25317.88627
2008,61823800,1598752,25859.81451
2009,62260500,1557120,25009.75739
2010,62759500,1612195,25688.46151
2011,63285100,1669509,26380.75945
2012,63705000,1721355,27020.72051
2013,64105700,1793155,27971.84962
2014,64596800,1876162,29044.19414
2015,65110000,1935212,29722.19321
2016,65648100,2016638,30718.90885
2017,66040200,2097143,31755.55192
2018,66435600,2174380,32729.1392
2019,66796800,2255283,33763.33896
2020,67081000,2156073,32141.33659
