,Firm,Rating,Compensation,Seniority
0,Morgan Stanley,3.9,174,Associate 1/2
1,Goldman Sachs,4.2,170,Associate 1/2
2,JP Morgan,4.2,171,Associate 1/2
3,Barclays,3.8,170,Associate 1/2
4,UBS,4.1,165,Associate 1/2
5,Credit Suisse,3.6,151,Associate 1/2
6,Citi,4.2,150,Associate 1/2
7,Bank of America,4.1,160,Associate 1/2
8,Deutsche Bank,4.2,158,Associate 1/2
9,Morgan Stanley,3.9,195,Associate 2/3
10,Goldman Sachs,4.2,198,Associate 2/3
11,JP Morgan,4.2,212,Associate 2/3
12,Barclays,3.8,213,Associate 2/3
13,UBS,4.1,203,Associate 2/3
14,Credit Suisse,3.6,175,Associate 2/3
15,Citi,4.2,180,Associate 2/3
16,Bank of America,4.1,189,Associate 2/3
17,Deutsche Bank,4.2,188,Associate 2/3
18,Morgan Stanley,3.9,232,Associate 3/4
19,Goldman Sachs,4.2,233,Associate 3/4
20,JP Morgan,4.2,239,Associate 3/4
21,Barclays,3.8,228,Associate 3/4
22,UBS,4.1,226,Associate 3/4
23,Credit Suisse,3.6,202,Associate 3/4
24,Citi,4.2,218,Associate 3/4
25,Bank of America,4.1,218,Associate 3/4
26,Deutsche Bank,4.2,225,Associate 3/4
27,Morgan Stanley,3.9,270,VP 1
28,Goldman Sachs,4.2,248,VP 1
29,JP Morgan,4.2,297,VP 1
30,Barclays,3.8,270,VP 1
31,UBS,4.1,256,VP 1
32,Credit Suisse,3.6,242,VP 1
33,Citi,4.2,262,VP 1
34,Bank of America,4.1,266,VP 1
35,Deutsche Bank,4.2,254,VP 1
36,Morgan Stanley,3.9,304,VP 2
37,Goldman Sachs,4.2,295,VP 2
38,JP Morgan,4.2,314,VP 2
39,Barclays,3.8,289,VP 2
40,UBS,4.1,291,VP 2
41,Credit Suisse,3.6,269,VP 2
42,Citi,4.2,287,VP 2
43,Bank of America,4.1,282,VP 2
44,Deutsche Bank,4.2,293,VP 2
45,Morgan Stanley,3.9,332,VP 3
46,Goldman Sachs,4.2,315,VP 3
47,JP Morgan,4.2,342,VP 3
48,Barclays,3.8,320,VP 3
49,UBS,4.1,316,VP 3
50,Credit Suisse,3.6,287,VP 3
51,Citi,4.2,306,VP 3
52,Bank of America,4.1,308,VP 3
53,Deutsche Bank,4.2,309,VP 3
