year,Afghanistan,Albania,Algeria,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belarus,Belgium,Belize,Benin,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Central African Republic,Chad,Chile,China,Colombia,Comoros,Congo (Brazzaville),Congo (Kinshasa),Costa Rica,Croatia,Cuba,Cyprus,Czech Republic,Denmark,Djibouti,Dominican Republic,Ecuador,Egypt,El Salvador,Estonia,Ethiopia,Finland,France,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Guatemala,Guinea,Guyana,Haiti,Honduras,Hong Kong S.A.R. of China,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Ivory Coast,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Lithuania,Luxembourg,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Mauritania,Mauritius,Mexico,Moldova,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,North Cyprus,North Macedonia,Norway,Oman,Pakistan,Palestinian Territories,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Rwanda,Saudi Arabia,Senegal,Serbia,Sierra Leone,Singapore,Slovakia,Slovenia,Somalia,Somaliland region,South Africa,South Korea,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syria,Taiwan Province of China,Tajikistan,Tanzania,Thailand,Togo,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Venezuela,Vietnam,Yemen,Zambia,Zimbabwe,(blank),Grand Total
2005,,,,,,,0.842647672,,,,,,0.796278775,,,,,,,0.81833744,,,,,,0.838543773,,,,,,,,,,,,,0.722874582,0.859549046,,,,0.734862745,,,,,0.768988252,,,,0.775691867,,0.691997588,,,,,,,0.675444007,,,,0.60822618,,,,0.678837299,,,0.738980412,0.695953369,,,,,,,,0.584244311,,,,,,,,,,,,,,0.819803298,,,,,,,,,0.869353354,,,,,,,,,,,,,,,0.715110958,,,0.642015934,,,0.729597867,,,,,,,,,,,,0.775784314,,,,,0.839870155,,,,,,,,,,0.556581378,,,,,0.864076078,,,,0.819065213,,,,,,19.46271586
2006,,,,,0.824682415,0.494120985,,0.823104739,0.511687636,,0.599945426,0.605487466,,,0.587210357,,0.739242613,,0.688109398,,,0.7162534,,0.718541205,0.605588019,,,0.580499589,0.804135978,0.809295237,0.799651206,,,,0.867740154,,0.646711767,0.82941252,,,,0.74772799,0.824870229,,0.863995016,0.6545313,,0.721504807,0.777402222,,,0.433115274,,0.67120105,,0.818015456,,,0.612906039,0.857972741,0.723260105,,,0.687016845,0.82465595,,,0.878255546,0.696438491,,,0.788478494,,,0.668787658,0.705086946,,0.845954299,0.654618084,0.885815978,0.654295862,0.548370957,,,,0.621323466,,0.701799214,0.670133293,0.750242531,,0.766734838,,,,,0.618771255,,,,0.622544229,,,0.716779828,,0.879670858,0.778861046,0.755324304,0.781400084,,,0.831731081,,,0.497146368,0.845192134,0.815583825,0.696759462,0.831998765,,0.708912194,,,0.611432076,0.735015929,,0.739952981,,0.505072296,0.750798464,0.678114116,0.652222455,,,0.802439928,0.650548518,,,0.756676018,,,,,0.821402431,,0.81363821,0.565764248,0.748167038,0.813509405,0.614520431,0.797639906,,,,0.589651346,0.621520102,0.746000946,,0.827417195,0.784314036,0.727945805,0.858955622,0.682260692,,0.700788021,0.715229034,,63.99760348
2007,,0.552677572,,,0.827919722,0.507100821,0.826250911,,0.520543933,,0.634598911,0.595992029,0.813477159,0.75878334,,,0.771074533,0.612803698,,0.858976424,0.594433486,0.650697529,,,0.634789109,0.871604204,0.567980289,0.613521934,0.766978681,0.817485452,0.808266282,,,,0.875298917,0.586316049,,,0.736433983,0.827859938,,0.766554236,0.833283067,0.665264249,0.868841171,0.665569842,,,,,,0.426647961,0.732468903,0.685636401,0.737924278,0.819046497,,0.767540574,,0.758958757,,0.700642169,,0.668467879,0.811749041,0.625506759,,,0.695740104,0.715646088,,,0.731493533,0.682661772,0.651070774,0.725195944,0.654865861,,0.655073881,0.861139357,0.672520757,,,0.612697423,,0.589249313,,,0.727481604,0.775071979,,,,0.732821584,,0.815721214,0.571287692,0.570640087,0.578938007,,0.63445127,,0.810895443,0.643316984,0.817750037,0.854027331,0.80976212,0.705617189,0.825709462,,0.602946103,,,0.682747602,0.56648922,0.819987059,0.86666894,0.757588804,0.784118414,0.760025561,,,0.644177675,0.622690141,,0.7722435,0.714047134,0.576048136,0.581780553,0.700188398,,,,,0.735379696,0.689787924,,0.763125002,0.708772302,,,,0.796209335,,,,0.694193006,0.755213737,0.831809878,,,,0.650954902,,0.708057761,0.636169553,,0.782353044,0.82850343,0.776779115,,,0.587590396,0.591898382,0.686748266,0.660860658,,71.62296712
2008,0.517637193,,,,0.823408544,0.52071017,0.826390505,0.832169592,0.577819765,,0.725386858,,0.81312269,,0.583623111,,0.78065443,,0.731179953,0.820271671,,0.52347374,0.439698309,0.73918283,0.600210786,0.890219748,,0.569129646,0.756524146,0.817443371,0.803400278,,0.573001504,,0.844216704,,,,,0.756865501,0.754545808,0.731573224,0.842586637,0.682729721,0.84206748,0.597254455,,0.772777677,0.745671511,,,0.44097954,0.787481844,0.717010379,,0.834360063,,,0.60769707,0.789360762,0.718972147,,0.879538476,0.674159825,0.773841202,0.624161065,0.525002241,0.875383615,0.709695339,0.636669159,,,0.779842138,0.668974996,0.675005436,0.772226989,,,0.623046279,0.829270005,0.638644397,0.526725829,,0.585067272,,0.532837272,,0.614424944,,0.815414429,,0.682153642,,0.731891096,,0.825426459,0.58373934,0.585894287,,,0.622976363,,,0.74486196,0.788194716,0.854247093,0.78384757,0.649851859,0.739536643,,,0.791722357,,0.655062497,0.571269214,0.81930089,0.848840058,0.762631297,0.805394351,,0.70293057,,,0.59379828,0.64295435,0.709539413,0.672880828,,0.533603728,0.720842063,,,,,0.772835195,0.642738521,,0.772095263,0.789876878,,,,0.804466605,,0.609097064,0.794351518,0.605863094,0.744346201,0.819037616,0.362497687,0.817197502,,0.614248514,,0.640577078,0.573152661,,0.818950593,0.871967971,0.751168072,0.713682711,0.801529706,0.665096939,,0.74414438,0.630983055,,76.27403602
2009,0.583925605,0.640023768,,,0.863785565,0.542872071,,,0.543640077,0.763664365,0.670300305,0.565596819,,,,,0.796764374,0.571649432,,0.832504809,,,0.640622258,0.796207786,0.593138576,0.867432535,,0.556809187,0.808313727,0.785805881,0.842629254,0.671982408,,0.491489291,0.876205921,0.636663139,,0.746213078,,0.74894917,0.662167549,0.785392582,0.840363145,0.642155468,0.8503775,0.597613275,,,0.762939274,,,0.49196139,0.79182744,0.774203181,0.648513556,0.828715503,,,,0.802865922,0.762150705,0.664400339,,0.771342933,0.864887595,,0.522806048,0.862124026,0.695398927,0.775457144,0.603941917,,0.784990311,0.644645333,0.678526342,0.771880269,0.597582757,0.718377352,0.607278287,,0.525004804,0.527854621,,,,0.52619791,0.799492657,,0.765324175,0.821610749,,0.760445774,0.714779913,0.737651169,,0.848761618,0.56160748,,0.623211026,,,,,0.570157051,,,0.781096637,0.73027122,0.744715452,,0.575552464,,,0.639216006,0.544386625,0.883028328,0.83175689,0.810965359,0.846068203,0.690350533,,0.677911639,0.548347473,0.56615144,0.677697778,0.741835833,0.757378459,0.543799102,,0.499599397,,0.640713274,,0.81887871,0.727468669,0.69701755,,0.752164721,0.769714057,0.733571649,,,0.819678426,0.814037323,0.574329972,,0.605243862,0.778499901,0.897640765,,,,0.598295033,0.780769646,0.640409708,0.583073199,0.770118356,0.846379936,0.843484044,0.793430865,0.735558689,0.824884534,0.582756698,0.583223701,0.727505088,0.735503316,,79.78865495
2010,0.61826545,0.647908092,,,0.846135557,0.509669185,0.834236264,0.8147192,0.526930571,0.684587538,0.628579915,0.566530406,0.828258514,,,,0.766099572,0.516695261,0.690273464,0.816654921,0.545823634,0.590039194,,0.774444818,0.606357396,0.878867686,0.523006201,0.544883072,0.809172988,0.76526463,0.83062613,0.72750777,,,0.886287093,0.606828213,,0.786111474,0.641369283,0.784826636,,0.787005663,0.826495051,0.566759109,0.813811123,,,0.832108617,0.789724112,,,0.501790285,0.793705821,0.783399701,0.633947492,0.849933386,,,0.554959655,0.796518564,0.710370421,0.655816436,,0.696512341,0.836674869,,0.541775107,0.875982642,0.67945838,0.596380711,,,0.827118337,0.643088937,0.691866517,0.819121718,0.69517827,0.717979968,0.649521708,,,0.525078058,,0.595008373,,0.473149508,0.808782876,,,0.832447946,,0.796525419,0.69691956,0.777994037,,0.840059161,0.583790004,0.712424934,0.59465903,,,,,0.672458351,0.853233814,0.84723419,0.805376172,0.745479941,0.782049537,,0.566944242,,,0.650707901,0.627587855,0.887584686,0.855230331,0.7995345,0.875528872,0.736897647,0.741612136,,0.596489191,0.58897537,,0.64508909,0.76881212,0.532202303,0.513531804,0.602475941,0.666457951,0.67081368,,0.769374847,0.793740094,0.661970615,,0.724312365,0.822604775,0.668583095,,,0.833033264,,0.557651937,0.845344603,0.64268297,0.71656698,0.901267946,,,0.724581182,0.651792586,,0.647654116,0.512682855,0.762652338,0.862620771,0.860642135,0.806706965,0.775874078,0.861522317,0.685243249,0.582426667,,0.747702122,,85.45234647
2011,0.611387312,0.627659321,0.550203383,0.658646524,0.840047896,0.474549353,0.815860271,0.789470851,0.53580451,0.543587804,0.684993863,0.520889699,0.834544539,,0.62582016,,0.760786295,0.596072555,0.739314616,0.807466984,0.533738077,0.578625023,0.688906729,0.799231231,0.597826481,0.88138485,0.524068475,0.591422617,0.803743482,0.820073843,0.831615269,0.666620076,0.621049702,0.61680603,0.875645041,0.59750998,,0.763074279,0.600925982,0.769436002,0.579302847,0.80884105,0.861699998,0.528634012,0.875323594,0.651386082,,0.772944152,0.780809402,0.591380835,,0.514920652,0.793666244,0.743967116,0.591371894,0.844493687,0.700549304,,0.625240147,0.815691471,0.733887315,0.642114282,,0.648167193,0.863814831,0.578113675,0.487618536,0.86522454,0.737907231,0.658394277,,0.835871994,0.775717437,0.61202389,0.695143759,0.760371685,0.695966363,0.793242276,0.681429386,0.899812341,0.563278019,0.578010738,0.793473184,,,0.569533467,0.836458564,0.509870946,0.712758839,0.887327015,,0.758270442,0.736184418,0.762008309,0.738434374,0.790098727,0.567914069,0.692157865,0.602760792,0.735656321,0.592006147,,,0.699453175,0.862723231,0.863912702,0.791432261,0.700493634,,,0.588336527,,,0.62777406,0.567007363,0.885293245,0.809841335,0.780169249,0.851471841,0.725359917,0.725109041,0.76092732,0.542729139,0.601347685,0.665473878,0.725970685,0.751883209,0.545480609,0.44580394,0.48275423,0.636583209,0.651520729,,0.748686075,0.763071239,0.655811727,,0.737269402,0.824980974,0.585826457,,0.820613265,0.814561486,,0.598737061,0.826713383,0.697810173,0.764550865,0.934373677,0.480280578,0.906178474,0.587680459,0.621293306,0.639032722,0.678212702,0.59043014,0.76283735,0.844498098,0.836360335,0.805345654,0.78715378,0.827956438,0.531590223,0.502690792,0.833213925,0.781188965,,101.7278568
2012,0.710384727,0.606635928,0.604023278,0.557908118,0.856516302,0.517862976,0.810741782,0.822247744,0.553869426,0.589015484,0.713508248,0.523195446,0.820485771,,0.5825243,,0.782481372,0.547962606,0.773363888,0.754624903,0.573091209,0.544851422,,0.820461333,0.617998898,0.856703699,,0.526546359,0.815391183,0.820784926,0.845917761,0.612241328,0.564219952,0.634003043,0.896885216,0.621574581,,0.755316854,0.609040797,0.773763597,,0.796801805,0.847184837,0.527221382,0.83063215,0.647360325,0.668341458,0.796285093,0.754119575,0.469998509,,0.559153914,0.803739309,0.75968802,0.580687582,0.862783432,0.677212596,,0.593434155,0.846510351,0.715137303,0.65190798,0.899718463,0.62873435,0.896927416,0.608597934,0.422927648,0.835201979,0.665101826,0.66976124,,,0.776910841,0.564724505,0.739842832,0.706963956,0.595571578,0.820708573,0.690524042,0.916800976,0.560012877,0.499440908,,,0.694884002,0.580971003,0.815248728,0.689855695,0.815616429,0.867352903,,0.68075037,0.744280636,0.782067597,,0.784479201,0.567696512,0.689052641,0.573610485,0.687131047,,0.764304161,,0.736082911,0.860640585,0.866304159,0.803253829,0.602544665,0.810905516,0.709236085,0.64188683,0.822749853,,0.664618492,0.616355181,0.868587494,0.83717531,0.757178366,0.86513114,0.787489176,0.728934467,0.765898824,0.555993974,0.611164153,0.702794313,0.715217471,0.770918489,0.514332354,,,0.656188428,0.656376362,,0.73518914,0.761366546,0.663814723,,0.749276638,0.863880336,0.576177895,0.764222682,,0.855099976,0.859107256,0.464438587,0.821361542,0.714460313,0.678828418,0.854543984,,,0.520914137,0.644781053,0.584448338,0.753983974,0.570337653,0.767661452,0.844452202,0.833771288,0.787868023,0.785678804,0.857872844,0.615127861,0.501775622,0.725964785,0.669278681,,100.3937608
2013,0.620584846,0.633608878,,0.65828377,0.842478514,0.562174141,0.818835258,0.787312806,0.618874013,0.768383086,0.619046271,0.608714163,0.797417402,,0.702019334,0.778723419,0.759098828,0.543629527,0.697808683,0.81766206,0.622750044,0.629770517,,0.791689336,0.681132317,0.851296902,,0.461591184,0.855062187,0.836430669,0.850565016,,0.609986424,0.589168489,0.850212753,0.58999753,,0.747811615,0.719957829,0.862346828,,0.793314457,0.850897312,0.55068332,0.828256786,0.702255547,0.642846286,0.768957376,0.800136089,0.509570956,,0.595041275,0.743487358,0.690766215,0.689162374,0.866773844,0.600324571,,0.538054764,0.816518545,,0.705703676,0.869971037,0.679957747,0.892942071,0.659087777,,0.814344585,0.697945952,0.778827429,0.74297148,0.733613372,0.793808818,0.684083998,0.673898816,0.765042961,0.691510618,0.752347887,0.72200352,,0.642102361,0.498863697,,,,0.580803812,0.640379965,0.734315693,0.808457434,0.736497462,,0.723919928,0.660352707,0.793040097,,0.789685428,0.581803799,0.649444938,0.538980365,0.784261465,,0.803301811,,0.629175842,0.866824448,0.834956408,0.838620186,0.650200367,0.63848871,0.6215536,0.577911556,,,0.59788686,0.593700886,0.86871475,0.918937087,0.7784729,0.799078584,0.784124315,0.699667215,,0.639820933,0.679745317,0.760014296,0.744080245,0.680120647,0.529108465,0.520901799,0.769632816,0.697576046,0.635099649,,,0.772517681,0.676294923,,0.696295857,0.860364735,,,,0.829284012,,0.386986703,0.846232355,0.676518679,0.73796773,0.845980763,,0.832502663,0.517319024,0.634615362,0.598715961,0.675636232,0.643461585,,0.775744438,0.813677669,0.826393127,0.749192774,0.839730322,0.718431234,0.558499932,0.734978557,0.711885393,,96.10938606
2014,0.531691492,0.684910536,0.62590462,0.578517139,0.857123733,0.580959857,0.775209963,0.779692769,0.597627223,,,0.618929267,0.797633767,0.754977345,0.589645088,0.858864307,0.808609068,0.531435847,0.674190462,0.788229942,0.627810121,0.613731802,0.655663729,0.783240318,0.622732699,0.833403885,,0.536371291,0.86981076,0.853974998,0.84708029,,0.595254719,0.558870256,0.83678627,0.59617871,,0.737284124,0.678406954,0.832482934,,0.797704577,0.859315515,0.542784274,0.837205052,0.680430651,0.73783654,0.784109592,0.811054468,0.539160728,,0.569884002,0.785408497,0.696154892,0.694675922,0.835368037,0.628649712,,0.592565,0.82018441,0.683968484,0.650690138,,0.71102351,0.852418959,0.618345201,0.573671103,0.784334838,0.604293108,0.716064274,0.647041082,0.737160861,0.741508007,0.660055876,0.717839718,0.814435542,0.636128306,,0.725460649,,0.652273059,0.558848083,,0.542849243,,0.619342983,0.803083718,0.747616172,0.703745067,0.769534349,,0.740901411,0.652304292,0.754968464,0.808024526,0.80164963,0.582632899,0.627491593,0.58744204,,,0.85796541,0.748636782,0.61392045,0.867766142,0.847514093,0.81328392,0.677612066,,0.723841786,0.637328207,0.833696604,,0.584937394,0.56505692,0.807689786,0.943620622,0.758987725,0.813341916,0.776996672,0.705072284,,0.654498339,0.687637925,0.762844026,0.705040038,0.724697053,0.497755259,0.570266843,0.841017604,0.703484714,0.619817793,0.834453702,,0.797623813,0.652948856,0.614023983,0.716265917,0.842814744,0.540845037,,,0.835672259,0.822913229,,0.848840654,0.656046808,0.730892956,0.811369598,0.582749844,,0.502727926,0.483358771,0.695216238,0.680730462,0.594336987,,0.793992698,0.834294438,0.869248688,0.804544687,0.810578346,0.701385736,0.610584974,0.692035198,0.725213528,,99.98291379
