Firm,Salary,Reports,weight,Average salary,Rating
3I GROUP,14439150.0,170.0,0.9999999999999989,115803.17647058825,2.8
ANGLO AMERICAN,16209863.0,195.0,0.9999999999999976,85689.49743589744,4.2
ASHTEAD GROUP,1645000.0,30.0,0.9999999999999999,54833.33333333334,5.0
ASSOCIATED BRITISH FOODS,11398732.0,205.0,1.0000000000000007,58477.16097560974,3.5
ASTRAZENECA,12315476.0,858.0,1.0000000000000044,57883.685314685295,4.2
AVIVA,8471746.0,1214.0,0.9999999999999977,38079.00658978585,3.8
BHP GROUP,12112470.0,200.0,1.0000000000000007,70287.05000000002,4.4
BP,13138050.0,1067.0,0.9999999999999954,60898.19306466732,3.8
BRITISH AMERICAN TOBACCO,8950525.0,106.0,0.9999999999999999,88793.16037735848,3.7
BT,10646387.0,3151.0,1.0000000000000009,49585.61980323703,3.7
Baillie Gifford,2724574.0,132.0,0.9999999999999994,51512.507575757576,4.5
COMPASS GROUP,5080581.0,741.0,1.000000000000004,32229.688259109338,3.6
CRH,1312000.0,29.0,0.9999999999999996,45241.379310344826,5.0
CRODA INTERNATIONAL,7325509.0,179.0,1.000000000000004,44676.111731843586,3.1
DIAGEO,11496463.0,448.0,1.000000000000004,56189.32142857145,3.0
EXPERIAN,10814050.0,758.0,1.0000000000000013,52652.44063324539,4.0
FLUTTER ENTERTAINMENT,4928310.0,97.0,0.9999999999999986,54664.22680412372,4.0
GLAXOSMITHKLINE,11236602.0,1545.0,0.9999999999999951,54041.588349514546,4.0
GLENCORE,17007811.0,222.0,0.9999999999999956,85831.64414414407,3.9
IMPERIAL BRANDS,11565062.0,233.0,0.9999999999999961,59595.77253218893,3.3
LEGAL & GENERAL GROUP,10614662.0,461.0,0.9999999999999971,49372.592190889394,4.0
LLOYDS BANKING GROUP,9585950.0,3558.0,0.9999999999999987,47372.72456436201,3.9
LONDON STOCK EXCHANGE GROUP,16248756.0,356.0,0.9999999999999939,75973.74719101122,3.4
NATWEST GROUP,10937642.0,2753.0,1.0000000000000016,54147.7420995278,3.7
PRUDENTIAL,12404523.0,197.0,1.0000000000000018,66156.69035532999,4.4
RECKITT BENCKISER GROUP,12730996.0,623.0,0.9999999999999966,55415.72231139642,3.5
RELX,6477752.0,127.0,0.9999999999999987,65649.87401574806,3.8
RIO TINTO,7984950.0,132.0,0.9999999999999992,70537.2424242424,4.4
ROYAL DUTCH SHELL,13344994.0,797.0,1.0000000000000013,64816.32245922209,3.8
SEGRO,10865000.0,170.0,0.9999999999999976,63911.76470588234,4.5
SSE,8653283.0,900.0,1.0000000000000016,39043.955555555534,3.4
TESCO,5008743.0,14557.0,1.0000000000000016,21920.105104073646,3.8
UNILEVER,10418447.0,1027.0,0.9999999999999954,50239.26777020449,4.1
VODAFONE GROUP,10621679.0,2572.0,1.0000000000000002,48820.99611197513,3.9
