Firm,Salary,Reports,weight,Average salary,Rating
3I GROUP,14424150.0,170.0,0.9999999999999989,115626.70588235297,2.8
ABRDN,12110021.0,548.0,1.0000000000000002,57256.29014598539,3.2
ADMIRAL GROUP,5346071.0,465.0,1.0000000000000024,26813.5870967742,4.0
ASHTEAD GROUP,1645000.0,30.0,0.9999999999999999,54833.33333333334,5.0
ASSOCIATED BRITISH FOODS,4253232.0,92.0,1.000000000000002,53199.10869565214,3.5
ASTRAZENECA,12520612.0,873.0,0.9999999999999984,58661.5269186713,4.2
AVEVA GROUP,8430975.0,183.0,1.0000000000000007,60042.92349726774,3.5
AVIVA,10234760.0,918.0,1.0000000000000009,45191.649237472804,3.8
Auto Trader UK,9239543.0,374.0,1.000000000000002,45500.45454545456,4.5
Avast Software,6650000.0,80.0,0.9999999999999984,86700.0,4.4
B&M Retail,3641341.0,1555.0,0.9999999999999987,22754.912540192905,4.4
BAE SYSTEMS,7681064.0,218.0,0.9999999999999967,48580.963302752265,3.8
BARCLAYS,11122030.0,5689.0,1.0000000000000007,60378.20161715596,5.0
BARRATT DEVELOPMENTS,8841630.0,340.0,0.9999999999999981,48702.90882352946,4.7
BERKELEY GROUP HOLDINGS (THE),10379638.0,375.0,1.0000000000000049,51830.285333333326,3.3
BHP GROUP,12442470.0,210.0,0.9999999999999978,68487.66666666676,4.4
BP,13764231.0,1097.0,0.9999999999999983,60313.65907019141,3.8
BRITISH AMERICAN TOBACCO,6679525.0,87.0,0.9999999999999991,82081.32183908044,3.7
BT,10854654.0,2924.0,0.9999999999999986,50183.01880984952,3.7
BURBERRY GROUP,9165017.0,627.0,1.0000000000000016,41835.360446570936,3.4
Baillie Gifford,2722574.0,132.0,0.9999999999999994,51489.78030303029,4.5
British Land Company,2820654.0,46.0,0.9999999999999996,74107.04347826086,4.4
COMPASS GROUP,5140002.0,792.0,0.9999999999999967,28291.002525252497,3.6
CRH,1313500.0,29.0,0.9999999999999996,45293.103448275855,5.0
CRODA INTERNATIONAL,7351509.0,182.0,0.9999999999999974,44079.80219780215,3.1
DCC,4430000.0,90.0,0.9999999999999989,60388.8888888889,4.5
DIAGEO,11507001.0,350.0,1.000000000000002,56950.25428571427,4.1
ELECTROCOMPONENTS,3016841.0,41.0,1.0000000000000004,83671.29268292681,4.3
ENTAIN,9312017.0,620.0,0.9999999999999942,32989.75967741935,3.4
EXPERIAN,10639387.0,715.0,0.9999999999999967,51772.672727272635,4.0
FLUTTER ENTERTAINMENT,4934310.0,97.0,0.9999999999999986,54720.92783505156,4.0
GLAXOSMITHKLINE,11245378.0,1524.0,0.999999999999999,53975.52624671915,4.0
GLENCORE,13709811.0,150.0,1.0000000000000027,105057.50000000001,3.9
HALMA,1449684.0,30.0,0.9999999999999999,50601.733333333315,4.4
HARGREAVES LANSDOWN,7429841.0,410.0,1.0000000000000007,31755.685365853627,3.6
HIKMA PHARMACEUTICALS,2555000.0,50.0,1.0000000000000004,51100.0,4.6
HSBC,11368308.0,2384.0,1.0000000000000007,53775.12038590604,3.7
IMPERIAL BRANDS,8342562.0,185.0,0.9999999999999949,57644.945945945976,3.3
INFORMA,10849467.0,563.0,0.9999999999999973,47952.563055062186,3.5
INTERCONTINENTAL HOTELS GROUP,8343286.0,356.0,0.9999999999999953,46462.08988764051,3.8
INTERMEDIATE CAPITAL GROUP,8392756.0,98.0,1.0000000000000009,90864.97959183666,3.8
INTERTEK GROUP,470000.0,10.0,0.9999999999999999,47000.0,0.0
International Airlines Group,5884549.0,90.0,0.9999999999999983,79184.9666666666,3.3
KINGFISHER,11569358.0,276.0,1.000000000000002,57340.96014492755,3.8
LAND SECURITIES GROUP,8478018.0,183.0,1.0000000000000009,52878.78688524591,3.6
LLOYDS BANKING GROUP,9868085.0,3731.0,1.0000000000000016,47723.78504422404,3.9
LONDON STOCK EXCHANGE GROUP,16155756.0,375.0,1.000000000000004,76532.41066666666,5.0
M&G,14727301.0,428.0,1.0000000000000016,69254.19392523363,3.7
MEGGITT,9190251.0,209.0,1.000000000000003,55011.69377990429,3.8
MONDI,4050000.0,100.0,1.0000000000000007,43150.0,2.9
NATIONAL GRID,10649649.0,505.0,1.0000000000000007,51887.79405940592,4.0
NATWEST GROUP,10576451.0,2765.0,1.0000000000000033,53448.16672694389,3.7
NEXT,3714766.0,2806.0,1.0000000000000029,19390.66963649323,3.6
PERSIMMON,4653468.0,222.0,0.9999999999999958,39589.37837837838,3.6
PHOENIX GROUP HOLDINGS,9121989.0,219.0,0.999999999999994,54340.337899543374,3.5
PRUDENTIAL,9902523.0,121.0,0.9999999999999976,87036.09917355372,4.4
RECKITT BENCKISER GROUP,12729996.0,624.0,0.9999999999999982,55373.3894230769,3.5
RELX,8241252.0,146.0,1.0000000000000027,69188.58904109588,3.8
RENTOKIL INITIAL,7710646.0,1249.0,0.9999999999999958,29546.251401120942,4.2
RIGHTMOVE ,4804016.0,254.0,0.9999999999999991,47710.50787401575,4.2
RIO TINTO,8542450.0,141.0,1.000000000000001,69985.21985815595,4.4
ROLLS-ROYCE HOLDINGS,8964517.0,1655.0,1.0,42474.401208459174,3.9
ROYAL MAIL,6704158.0,2631.0,1.0000000000000013,29120.720258456862,3.6
SAGE GROUP,520000.0,10.0,0.9999999999999999,52000.0,4.0
SAINSBURY(J),5301969.0,6154.0,0.9999999999999984,23435.02957426062,3.6
SCHRODERS,15104151.0,415.0,0.9999999999999968,71934.50120481932,4.1
SEVERN TRENT,7892203.0,357.0,0.999999999999998,38394.40896358545,4.3
SMITH & NEPHEW,9786629.0,228.0,1.0000000000000022,55704.07456140347,3.9
SMITH (DS),7487404.0,191.0,0.9999999999999956,49315.130890052365,3.4
SMITHS GROUP,11962831.0,159.0,0.9999999999999999,76509.38993710693,3.4
SMURFIT KAPPA GROUP,6647851.0,295.0,0.9999999999999977,40965.423728813585,4.2
SPIRAX-SARCO ENGINEERING,7773050.0,152.0,0.9999999999999979,55820.065789473665,4.4
SSE,9125389.0,836.0,0.9999999999999961,40649.06100478468,3.6
ST.JAMES'S PLACE,8133848.0,350.0,1.0000000000000053,38709.01999999999,3.9
STANDARD CHARTERED,17677252.0,451.0,0.999999999999996,92477.2638580932,3.8
TESCO,4999500.0,14548.0,1.0,21910.577330217235,3.8
UNILEVER,10369658.0,1052.0,0.9999999999999977,50033.2423954373,4.1
UNITED UTILITIES GROUP,8706463.0,265.0,0.9999999999999999,43867.233962264174,4.5
WHITBREAD,7764269.0,668.0,0.9999999999999969,33956.80688622755,4.0
WPP,13517585.0,260.0,0.9999999999999974,66506.48076923074,3.6
