Firm,Salary,Reports,weight,Average salary,Rating
3I GROUP,14429150.0,170.0,0.9999999999999989,115656.1176470588,2.8
ABRDN,12304021.0,548.0,1.0000000000000002,57537.31204379559,3.2
ADMIRAL GROUP,5652660.0,424.0,1.0000000000000058,27104.978773584913,4.0
ANGLO AMERICAN,7058363.0,86.0,1.000000000000001,87894.79069767444,4.2
ASHTEAD GROUP,1635000.0,30.0,0.9999999999999999,54500.0,5.0
ASSOCIATED BRITISH FOODS,4613232.0,93.0,0.9999999999999994,56492.66666666668,3.5
ASTRAZENECA,12615612.0,872.0,1.000000000000002,58832.0103211009,4.2
AVEVA GROUP,9387975.0,195.0,0.999999999999998,61240.28205128208,3.5
AVIVA,9533388.0,937.0,1.0000000000000007,42097.259338313735,3.8
Auto Trader UK,9172043.0,375.0,1.000000000000005,45188.45333333333,4.5
Avast Software,6632500.0,80.0,0.9999999999999984,86481.25,4.4
B&M Retail,3355178.0,1429.0,1.000000000000001,22381.438768369477,4.4
BAE SYSTEMS,8863064.0,237.0,0.9999999999999941,49671.51898734174,3.8
BARCLAYS,11122030.0,5689.0,1.0000000000000007,60378.20161715596,3.9
BARRATT DEVELOPMENTS,8850630.0,340.0,0.9999999999999981,48732.32058823532,4.7
BERKELEY GROUP HOLDINGS (THE),10385138.0,375.0,1.0000000000000049,51851.61866666667,3.3
BHP GROUP,12457470.0,210.0,0.9999999999999978,68559.09523809537,4.4
BP,13651663.0,1128.0,0.9999999999999972,59853.087765957454,3.8
BRITISH AMERICAN TOBACCO,6537525.0,88.0,0.9999999999999993,79540.62500000001,3.7
BT,10854654.0,2924.0,0.9999999999999986,50183.01880984952,3.7
BUNZL,3750558.0,130.0,0.9999999999999977,35996.64615384612,3.4
BURBERRY GROUP,8999017.0,630.0,0.9999999999999984,41363.12857142857,3.4
Baillie Gifford,2722074.0,132.0,0.9999999999999994,51474.628787878784,4.5
British Land Company,2815154.0,46.0,0.9999999999999996,73954.86956521738,4.4
COMPASS GROUP,5120448.0,803.0,1.0000000000000016,28284.323785803248,3.6
CRH,1312500.0,29.0,0.9999999999999996,45258.62068965517,5.0
CRODA INTERNATIONAL,7562009.0,186.0,0.9999999999999992,44266.25806451614,3.1
Coca Cola,9764191.0,198.0,1.0000000000000022,60163.747474747484,4.2
DCC,4420000.0,90.0,0.9999999999999989,60333.333333333314,4.5
DECHRA PHARMACEUTICALS,1776500.0,30.0,0.9999999999999999,59983.33333333332,2.3
DIAGEO,11424463.0,442.0,0.9999999999999981,55905.69230769227,4.2
ELECTROCOMPONENTS,3011341.0,41.0,1.0000000000000004,83537.14634146343,4.3
ENTAIN,8839017.0,619.0,0.9999999999999958,32291.843295638126,3.4
EXPERIAN,10903732.0,735.0,0.9999999999999977,52569.17142857145,4.0
FLUTTER ENTERTAINMENT,4920810.0,97.0,0.9999999999999986,54592.06185567015,4.0
GLAXOSMITHKLINE,11245378.0,1524.0,0.999999999999999,53975.52624671916,4.0
