,Firm,Salary,Reports
0,ASTRAZENECA,48601.0,107.0
1,ASTRAZENECA,91149.0,35.0
2,ASTRAZENECA,34761.0,34.0
3,ASTRAZENECA,67821.0,34.0
4,ASTRAZENECA,51459.0,29.0
5,ASTRAZENECA,57493.0,23.0
6,ASTRAZENECA,38336.0,21.0
7,ASTRAZENECA,43216.0,17.0
8,ASTRAZENECA,41259.0,14.0
9,ASTRAZENECA,18996.0,13.0
10,ASTRAZENECA,113998.0,13.0
11,ASTRAZENECA,42076.0,12.0
12,ASTRAZENECA,52289.0,10.0
13,ASTRAZENECA,20449.0,10.0
14,ASTRAZENECA,81504.0,10.0
15,ASTRAZENECA,88314.0,10.0
16,ASTRAZENECA,48404.0,10.0
17,ASTRAZENECA,37429.0,9.0
18,ASTRAZENECA,31717.0,9.0
19,ASTRAZENECA,80549.0,8.0
20,ASTRAZENECA,65316.0,8.0
21,ASTRAZENECA,53612.0,7.0
22,ASTRAZENECA,83187.0,7.0
23,ASTRAZENECA,57267.0,6.0
24,ASTRAZENECA,109916.0,6.0
25,ASTRAZENECA,86332.0,6.0
26,ASTRAZENECA,76837.0,6.0
27,ASTRAZENECA,53417.0,6.0
28,ASTRAZENECA,73368.0,5.0
29,ASTRAZENECA,79767.0,5.0
30,ASTRAZENECA,89909.0,5.0
31,ASTRAZENECA,33416.0,5.0
32,ASTRAZENECA,42422.0,5.0
33,ASTRAZENECA,45000.0,5.0
34,ASTRAZENECA,108961.0,5.0
35,ASTRAZENECA,19870.0,5.0
36,ASTRAZENECA,52337.0,5.0
37,ASTRAZENECA,42112.0,5.0
38,ASTRAZENECA,66324.0,5.0
39,ASTRAZENECA,33725.0,4.0
40,ASTRAZENECA,51372.0,3.0
41,ASTRAZENECA,37111.0,3.0
42,ASTRAZENECA,38961.0,3.0
43,ASTRAZENECA,84747.0,3.0
44,ASTRAZENECA,68493.0,3.0
45,ASTRAZENECA,56977.0,3.0
46,ASTRAZENECA,42862.0,3.0
47,ASTRAZENECA,40254.0,3.0
48,ASTRAZENECA,109908.0,3.0
49,ASTRAZENECA,35895.0,3.0
50,ASTRAZENECA,42540.0,3.0
51,ASTRAZENECA,28785.0,3.0
52,ASTRAZENECA,19446.0,3.0
53,ASTRAZENECA,75010.0,3.0
54,ASTRAZENECA,18402.0,3.0
55,ASTRAZENECA,101561.0,3.0
56,ASTRAZENECA,36741.0,3.0
57,ASTRAZENECA,35560.0,3.0
58,ASTRAZENECA,70864.0,3.0
59,ASTRAZENECA,42230.0,3.0
60,ASTRAZENECA,51372.0,3.0
61,ASTRAZENECA,37111.0,3.0
62,ASTRAZENECA,38961.0,3.0
63,ASTRAZENECA,84747.0,3.0
64,ASTRAZENECA,68493.0,3.0
65,ASTRAZENECA,56977.0,3.0
66,ASTRAZENECA,42862.0,3.0
67,ASTRAZENECA,40254.0,3.0
68,ASTRAZENECA,109908.0,3.0
69,ASTRAZENECA,35895.0,3.0
70,ASTRAZENECA,42540.0,3.0
71,ASTRAZENECA,28785.0,3.0
72,ASTRAZENECA,19446.0,3.0
73,ASTRAZENECA,75010.0,3.0
74,ASTRAZENECA,18402.0,3.0
75,ASTRAZENECA,101561.0,3.0
76,ASTRAZENECA,36741.0,3.0
77,ASTRAZENECA,35560.0,3.0
78,ASTRAZENECA,70864.0,3.0
79,ASTRAZENECA,42230.0,3.0
80,ASTRAZENECA,36745.0,3.0
81,ASTRAZENECA,50000.0,3.0
82,ASTRAZENECA,83409.0,3.0
83,ASTRAZENECA,60969.0,3.0
84,ASTRAZENECA,42500.0,2.0
85,ASTRAZENECA,39000.0,2.0
86,ASTRAZENECA,65000.0,2.0
87,ASTRAZENECA,85500.0,2.0
