,Search,Result
0,ASTRAZENECA, AstraZeneca
1,UNILEVER, Unilever
2,DIAGEO, Diageo
3,HSBC HLDGS,No results
4,GLAXOSMITHKLINE, GlaxoSmithKline
5,ROYAL DUTCH SHELL, Shell
6,BP, BP
7,BRITISH AMERICAN TOBACCO, British American Tobacco
8,RIO TINTO, Rio Tinto
9,ROYAL DUTCH SHELL, Shell
10,GLENCORE, Glencore
11,RELX, RELX
12,BHP GROUP, BHP
13,RECKITT BENCKISER GROUP, Reckitt
14,ANGLO AMERICAN, Anglo American
15,NATIONAL GRID, National Grid
16,LONDON STOCK EXCHANGE GROUP, LSEG (London Stock Exchange Group)
17,PRUDENTIAL, Prudential
18,LLOYDS BANKING GROUP, Lloyds Banking Group
19,EXPERIAN, Experian
20,BARCLAYS, Barclays
21,VODAFONE GROUP, Vodafone
22,CRH, CRH
23,COMPASS GROUP, Compass Group
24,FERGUSON, Ferguson Corporation
25,ASHTEAD GROUP, Ashtead Group
26,NATWEST GROUP, NatWest Group
27,TESCO, Tesco
28,FLUTTER ENTERTAINMENT, Flutter Entertainment
29,Baillie Gifford, Baillie Gifford
30,LEGAL & GENERAL GROUP, Legal & General
31,SSE, SSE
32,BAE SYSTEMS, BAE Systems USA
33,SEGRO, SEGRO
34,BT GROUP, B&T Group
35,ASSOCIATED BRITISH FOODS, Associated British Foods
36,AVIVA, Aviva
37,IMPERIAL BRANDS, Imperial Brands
38,CRODA INTERNATIONAL, Croda
39,3I GROUP, 3i Group
40,STANDARD CHARTERED, Standard Chartered Bank
41,ANTOFAGASTA, Antofagasta
42,WPP, WPP
43,OCADO GROUP, Ocado Group
44,HALMA, Halma
45,SPIRAX-SARCO ENGINEERING, Spirax Sarco
46,SMITH & NEPHEW, Smith & Nephew
47,JD SPORTS FASHION, JD Sports Fashion
48,RENTOKIL INITIAL, Rentokil Initial
49,NEXT, next
50,SMURFIT KAPPA GROUP, Smurfit Kappa
51,ROLLS-ROYCE HOLDINGS, Rolls-Royce
52,ENTAIN, Entain
53,AVEVA GROUP, AVEVA
54,BUNZL, Bunzl
55,ADMIRAL GROUP, Admiral Group
56,COCA-COLA HBC AG ORD CHF6.70 (CDI),No results
57,PERSIMMON, Persimmon
58,ST.JAMES'S PLACE, St. James's Place Wealth Management
59,INTERTEK GROUP, Intertek Alchemy
60,MONDI, Mondi Group
61,EVRAZ, EVRAZ North America
62,SAGE GROUP, The Sage Group
63,INTERCONTINENTAL HOTELS GROUP, IHG Hotels and Resorts
64,SCHRODERS, Schroders
65,INFORMA, Informa
66,BARRATT DEVELOPMENTS, Barratt Developments
67,UNITED UTILITIES GROUP, United Utilities
68,SEVERN TRENT, Severn Trent
69,BURBERRY GROUP, Burberry
70,INTL CONSOLIDATED AIRLINES GROUP SA ORD EUR0.10 (CDI),No results
71,KINGFISHER, Kingfisher
72,AUTO TRADER GROUP, Trader Joe's
73,MELROSE INDUSTRIES, Melrose Industries
74,RIGHTMOVE , Rightmove
75,FRESNILLO, Fresnillo
76,PHOENIX GROUP HOLDINGS, Phoenix Group
77,SAINSBURY(J), J Sainsbury
78,HARGREAVES LANSDOWN, Hargreaves Lansdown
79,TAYLOR WIMPEY, Taylor Wimpey
80,INTERMEDIATE CAPITAL GROUP, Intermediate Capital
81,B&M EUROPEAN VALUE RETAIL S.A. ORD 10P (DI),No results
82,AVAST, Avast
83,POLYMETAL INTERNATIONAL, Polymetal
84,SMITHS GROUP, Smiths Group
85,WHITBREAD, Whitbread
86,PERSHING SQUARE HOLDINGS LTD ORD NPV,No results
87,DCC, DCC
88,MEGGITT, Meggitt
89,DECHRA PHARMACEUTICALS, Dechra Pharmaceuticals
90,LAND SECURITIES GROUP, Landsec
91,ELECTROCOMPONENTS, Electrocomponents
92,BERKELEY GROUP HOLDINGS (THE), Berkeley Group
93,SMITH (DS), DS Smith
94,ABRDN, abrdn
95,M&G, M&G plc
96,HIKMA PHARMACEUTICALS, Hikma
97,ROYAL MAIL, Royal Mail
98,BRITISH LAND CO, Land & Company
99,PEARSON, Pearson
100,ITV, ITV
