,Firm,Rating,Seniority,Compensation
0,Morgan Stanley,4.1,Analyst 1,50
1,Morgan Stanley,4.1,Analyst 2,55
2,Morgan Stanley,4.1,Analyst 3,
3,Morgan Stanley,4.1,Associate 1/2,98
4,Morgan Stanley,4.1,Associate 2/3,123
5,Morgan Stanley,4.1,Associate 3/4,123
6,Morgan Stanley,4.1,VP 1,170
7,Morgan Stanley,4.1,VP 2,170
8,Morgan Stanley,4.1,VP 3,170
9,Goldman Sachs,4.0,Analyst 1,50
10,Goldman Sachs,4.0,Analyst 2,60
11,Goldman Sachs,4.0,Analyst 3,
12,Goldman Sachs,4.0,Associate 1/2,91
13,Goldman Sachs,4.0,Associate 2/3,106
14,Goldman Sachs,4.0,Associate 3/4,122
15,Goldman Sachs,4.0,VP 1,150
16,Goldman Sachs,4.0,VP 2,150
17,Goldman Sachs,4.0,VP 3,150
18,JP Morgan,4.1,Analyst 1,50
19,JP Morgan,4.1,Analyst 2,55
20,JP Morgan,4.1,Analyst 3,60
21,JP Morgan,4.1,Associate 1/2,90
22,JP Morgan,4.1,Associate 2/3,105
23,JP Morgan,4.1,Associate 3/4,120
24,JP Morgan,4.1,VP 1,145
25,JP Morgan,4.1,VP 2,155
26,JP Morgan,4.1,VP 3,160
27,Barclays,3.9,Analyst 1,50
28,Barclays,3.9,Analyst 2,55
29,Barclays,3.9,Analyst 3,60
30,Barclays,3.9,Associate 1/2,90
31,Barclays,3.9,Associate 2/3,105
32,Barclays,3.9,Associate 3/4,120
33,Barclays,3.9,VP 1,140
34,Barclays,3.9,VP 2,145
35,Barclays,3.9,VP 3,155
36,UBS,4.0,Analyst 1,50
37,UBS,4.0,Analyst 2,58
38,UBS,4.0,Analyst 3,60
39,UBS,4.0,Associate 1/2,95
40,UBS,4.0,Associate 2/3,110
41,UBS,4.0,Associate 3/4,122
42,UBS,4.0,VP 1,150
43,UBS,4.0,VP 2,150
44,UBS,4.0,VP 3,150
45,Credit Suisse,3.6,Analyst 1,50
46,Credit Suisse,3.6,Analyst 2,55
47,Credit Suisse,3.6,Analyst 3,60
48,Credit Suisse,3.6,Associate 1/2,90
49,Credit Suisse,3.6,Associate 2/3,105
50,Credit Suisse,3.6,Associate 3/4,120
51,Credit Suisse,3.6,VP 1,150
52,Credit Suisse,3.6,VP 2,150
53,Credit Suisse,3.6,VP 3,150
54,Citi,3.8,,
55,Bank of America,4.0,,
56,Deutsche Bank,3.8,Analyst 1,50
57,Deutsche Bank,3.8,Analyst 2,55
58,Deutsche Bank,3.8,Analyst 3,
59,Deutsche Bank,3.8,Associate 1/2,90
60,Deutsche Bank,3.8,Associate 2/3,105
61,Deutsche Bank,3.8,Associate 3/4,120
62,Deutsche Bank,3.8,VP 1,140
63,Deutsche Bank,3.8,VP 2,155
64,Deutsche Bank,3.8,VP 3,155
65,BAML,,Analyst 1,62.5
66,BAML,,Analyst 2,65.5
67,BAML,,Analyst 3,
68,BAML,,Associate 1/2,105
69,BAML,,Associate 2/3,120
70,BAML,,Associate 3/4,135
71,BAML,,VP 1,165
72,BAML,,VP 2,165
73,BAML,,VP 3,165
74,CITI,,Analyst 1,50
75,CITI,,Analyst 2,55
76,CITI,,Analyst 3,60
77,CITI,,Associate 1/2,90
78,CITI,,Associate 2/3,105
79,CITI,,Associate 3/4,120
80,CITI,,VP 1,135
81,CITI,,VP 2,150
82,CITI,,VP 3,150
