Continent,Year,Positive affect,Negative affect
Africa,2005-01-01,0.734862745,0.345555186
Africa,2006-01-01,0.681941897,0.243590929
Africa,2007-01-01,0.687373678,0.237172955
Africa,2008-01-01,0.641390899,0.24036135
Africa,2009-01-01,0.697654632,0.197428213
Africa,2010-01-01,0.691258752,0.192226906
Africa,2011-01-01,0.664324334,0.229129072
Africa,2012-01-01,0.661361124,0.228911333
Africa,2013-01-01,0.670193276,0.257713374
Africa,2014-01-01,0.661589544,0.278254807
Africa,2015-01-01,0.668433365,0.291211623
Africa,2016-01-01,0.688108314,0.333121535
Africa,2017-01-01,0.669279429,0.354618982
Africa,2018-01-01,0.691584292,0.345116594
Africa,2019-01-01,0.680110924,0.340090949
Africa,2020-01-01,0.680853945,0.314798053
Asia,2005-01-01,0.671400428,0.270131427
Asia,2006-01-01,0.720717599,0.23726054
Asia,2007-01-01,0.699282698,0.239498369
Asia,2008-01-01,0.693592383,0.250755915
Asia,2009-01-01,0.692024086,0.254909215
Asia,2010-01-01,0.701671532,0.248817202
Asia,2011-01-01,0.700151198,0.251859188
Asia,2012-01-01,0.70761882,0.264688361
Asia,2013-01-01,0.706938723,0.273870292
Asia,2014-01-01,0.711231939,0.262007024
Asia,2015-01-01,0.704203753,0.290779125
Asia,2016-01-01,0.698300391,0.271934659
Asia,2017-01-01,0.692994538,0.290227639
Asia,2018-01-01,0.698209093,0.286588618
Asia,2019-01-01,0.699887372,0.285659934
Asia,2020-01-01,0.732293004,0.301424728
Europe,2005-01-01,0.748830239,0.246934816
Europe,2006-01-01,0.677006438,0.255380293
Europe,2007-01-01,0.657482418,0.257630247
Europe,2008-01-01,0.697162692,0.226237868
Europe,2009-01-01,0.655427495,0.269895203
Europe,2010-01-01,0.67164733,0.259679651
Europe,2011-01-01,0.666720666,0.258747406
Europe,2012-01-01,0.684431151,0.269880802
Europe,2013-01-01,0.68629215,0.276304146
Europe,2014-01-01,0.690119285,0.26265313
Europe,2015-01-01,0.695416918,0.252987443
Europe,2016-01-01,0.692985915,0.25065472
Europe,2017-01-01,0.691164186,0.240264358
Europe,2018-01-01,0.681563476,0.249263088
Europe,2019-01-01,0.69202177,0.239548277
Europe,2020-01-01,0.70750212,0.267560066
North America,2005-01-01,0.829173535,0.226110511
North America,2006-01-01,0.787721495,0.250896511
North America,2007-01-01,0.817550995,0.233449473
North America,2008-01-01,0.80476962,0.228600236
North America,2009-01-01,0.836736059,0.238971968
North America,2010-01-01,0.814640484,0.244299581
North America,2011-01-01,0.828604221,0.258126401
North America,2012-01-01,0.815803875,0.280043821
North America,2013-01-01,0.801634009,0.28262409
North America,2014-01-01,0.792482555,0.29224073
North America,2015-01-01,0.793045293,0.297797856
North America,2016-01-01,0.798017534,0.294225093
North America,2017-01-01,0.811830525,0.26586946
North America,2018-01-01,0.818135603,0.290106482
North America,2019-01-01,0.834494087,0.271367446
North America,2020-01-01,0.793240201,0.307419395
Oceania,2005-01-01,0.842647672,0.23801209
Oceania,2006-01-01,0.879670858,0.218773201
Oceania,2007-01-01,0.840139121,0.226673849
Oceania,2008-01-01,0.840318799,0.225153983
Oceania,2009-01-01,0.840527013,0.226284914
Oceania,2010-01-01,0.840735227,0.227415845
Oceania,2011-01-01,0.839886487,0.202736661
Oceania,2012-01-01,0.838522971,0.21063754
Oceania,2013-01-01,0.826895833,0.164269589
Oceania,2014-01-01,0.811362028,0.222161584
Oceania,2015-01-01,0.811846167,0.18473348
Oceania,2016-01-01,0.811906487,0.221749708
Oceania,2017-01-01,0.79875508,0.198538773
Oceania,2018-01-01,0.802190721,0.17770391
Oceania,2019-01-01,0.793033093,0.196683221
Oceania,2020-01-01,0.809298366,0.206809364
South America,2005-01-01,0.818701327,0.267396763
South America,2006-01-01,0.794243932,0.333027202
South America,2007-01-01,0.803507614,0.303149931
South America,2008-01-01,0.799101484,0.29970012
South America,2009-01-01,0.824539852,0.265355985
South America,2010-01-01,0.821817833,0.246221162
South America,2011-01-01,0.81286726,0.2706488
South America,2012-01-01,0.80967578,0.290648569
South America,2013-01-01,0.833929735,0.287494618
South America,2014-01-01,0.841260469,0.279984413
South America,2015-01-01,0.827221578,0.308940558
South America,2016-01-01,0.817312825,0.314277142
South America,2017-01-01,0.798177391,0.320703785
South America,2018-01-01,0.810140643,0.332319849
South America,2019-01-01,0.810875338,0.33308955
South America,2020-01-01,0.77184809,0.358323041
