Country,Continent,Year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Colour
Afghanistan,Asia,2019-01-01,2.375,7.697,0.42,52.4,0.39399999999999996,-0.10800000000000001,0.924,0.35100000000000003,0.502,1
Albania,Europe,2019-01-01,4.995,9.544,0.6859999999999999,69.0,0.777,-0.099,0.914,0.6809999999999999,0.27399999999999997,2
Algeria,Africa,2019-01-01,4.745,9.337,0.8029999999999999,66.1,0.385,0.005,0.741,0.585,0.215,2
Argentina,South America,2019-01-01,6.086,10.0,0.8959999999999999,69.0,0.8170000000000001,-0.21100000000000002,0.83,0.826,0.319,5
Armenia,Europe,2019-01-01,5.4879999999999995,9.522,0.782,67.2,0.8440000000000001,-0.172,0.583,0.598,0.43,5
Australia,Oceania,2019-01-01,7.234,10.815,0.943,73.9,0.9179999999999999,0.121,0.43,0.77,0.20199999999999999,9
Austria,Europe,2019-01-01,7.195,10.939,0.9640000000000001,73.3,0.903,0.06,0.457,0.774,0.205,9
Azerbaijan,Europe,2019-01-01,5.172999999999999,9.575,0.887,65.8,0.8540000000000001,-0.214,0.457,0.643,0.16399999999999998,5
Bahrain,Asia,2019-01-01,7.098,10.715,0.878,69.3,0.907,0.048,,0.762,0.317,9
Bangladesh,Asia,2019-01-01,5.114,8.467,0.6729999999999999,64.8,0.902,-0.051,0.6559999999999999,0.537,0.369,4
Belarus,Europe,2019-01-01,5.821000000000001,9.86,0.917,66.4,0.657,-0.18600000000000003,0.546,0.591,0.19,5
Belgium,Europe,2019-01-01,6.772,10.853,0.884,72.2,0.7759999999999999,-0.172,0.672,0.733,0.244,9
Benin,Africa,2019-01-01,4.976,8.097999999999999,0.442,54.7,0.77,-0.016,0.698,0.659,0.441,1
Bolivia,South America,2019-01-01,5.6739999999999995,9.074,0.784,63.9,0.8809999999999999,-0.086,0.857,0.7509999999999999,0.419,5
Bosnia and Herzegovina,Europe,2019-01-01,6.016,9.609,0.873,68.1,0.722,0.079,0.963,0.633,0.23800000000000002,5
Botswana,Africa,2019-01-01,3.471,9.785,0.774,59.6,0.833,-0.239,0.792,0.7120000000000001,0.273,2
Brazil,South America,2019-01-01,6.4510000000000005,9.592,0.899,66.6,0.83,-0.062,0.762,0.7609999999999999,0.337,8
Bulgaria,Europe,2019-01-01,5.1080000000000005,10.047,0.948,67.0,0.8220000000000001,-0.109,0.943,0.6629999999999999,0.2,5
Burkina Faso,Africa,2019-01-01,4.7410000000000005,7.691,0.6829999999999999,54.4,0.6779999999999999,-0.004,0.7290000000000001,0.691,0.365,1
